user_id,user_gender,user_age,age_group,country,interests
05b05,Male,44,35-44,United Kingdom,"sports, fitness"
05b29,Female,25,25-34,United Kingdom,"gaming, news"
05b6b,Female,31,25-34,Japan,"gaming, food, travel"
05bc8,Male,44,35-44,Japan,"photography, food, sports"
05bf4,Female,30,25-34,Canada,"gaming, lifestyle, technology"
05dcc,Other,22,18-24,India,"fashion, news, health"
05ddd,Male,18,18-24,United States,"travel, food"
05f1d,Male,27,25-34,Canada,"food, news, art"
05f2f,Other,31,25-34,United States,"finance, food, sports"
0605f,Other,36,35-44,India,sports
060f3,Male,26,25-34,India,"technology, finance"
061c2,Other,24,18-24,United States,"news, food"
062b2,Other,28,25-34,Germany,"art, lifestyle"
063ee,Male,31,25-34,United States,"finance, technology, travel"
0655a,Other,35,35-44,Australia,fashion
065ae,Female,23,18-24,United States,"art, sports, finance"
0666b,Male,43,35-44,United States,sports
0667c,Female,33,25-34,Germany,"photography, lifestyle"
066c7,Female,50,45-54,India,lifestyle
0683b,Male,32,25-34,France,"travel, art, lifestyle"
068af,Male,28,25-34,United States,"finance, travel, sports"
06a01,Male,31,25-34,United Kingdom,"fitness, lifestyle"
06acf,Female,27,25-34,Germany,art
06b58,Male,45,45-54,United States,"travel, food"
06bac,Male,26,25-34,Germany,"sports, food, fitness"
06bad,Other,25,25-34,France,"sports, fitness"
06cf9,Male,22,18-24,France,art
06d52,Male,27,25-34,United States,"health, news"
06db8,Female,31,25-34,Canada,gaming
06dc2,Female,23,18-24,Germany,"food, lifestyle"
06e0a,Male,18,18-24,United States,"travel, photography"
06e6a,Male,28,25-34,Japan,"food, photography, sports"
06f72,Male,30,25-34,Canada,"news, technology"
06f74,Male,38,35-44,United Kingdom,sports
06fd1,Male,25,25-34,United Kingdom,"travel, fashion"
070d2,Male,36,35-44,Japan,health
071ca,Female,43,35-44,United States,"sports, technology, finance"
0722b,Female,17,16-17,Canada,"technology, finance, photography"
0739f,Female,20,18-24,India,finance
0748b,Other,20,18-24,Japan,"technology, sports, health"
0748e,Other,24,18-24,United Kingdom,sports
074f3,Male,24,18-24,France,news
0760c,Female,38,35-44,United Kingdom,"fashion, gaming"
0772a,Female,35,35-44,United States,"technology, sports"
0773d,Female,27,25-34,Canada,"food, gaming"
077f4,Male,28,25-34,India,"photography, food, gaming"
077f8,Female,28,25-34,United States,"travel, art"
079b0,Female,26,25-34,India,"fashion, technology"
079b4,Male,26,25-34,Germany,"photography, finance, lifestyle"
079c7,Male,30,25-34,United Kingdom,"photography, food"
07a50,Male,23,18-24,Canada,sports
07a65,Male,17,16-17,United Kingdom,"finance, health"
07b00,Male,44,35-44,Canada,art
07b9c,Other,32,25-34,Canada,"health, travel"
07c1a,Male,28,25-34,Japan,"fashion, news, art"
07c26,Male,44,35-44,United States,"fitness, fashion, food"
07c3e,Male,31,25-34,United Kingdom,"lifestyle, technology, news"
07d38,Female,25,25-34,Canada,"sports, health"
07d74,Male,56,55-65,Germany,finance
07d7c,Female,46,45-54,United States,"fitness, lifestyle, fashion"
07e6e,Male,23,18-24,Australia,"travel, fitness"
07fd3,Female,23,18-24,United States,"fashion, fitness"
07ff5,Male,22,18-24,Canada,"travel, finance"
0803c,Female,25,25-34,United States,health
082cc,Male,22,18-24,Australia,"travel, art, health"
082f4,Male,22,18-24,Japan,"fitness, technology"
082f6,Male,23,18-24,United States,"travel, technology"
083d0,Male,38,35-44,United States,"art, food"
0863c,Female,25,25-34,France,"fitness, lifestyle"
0869a,Male,20,18-24,United States,"food, health, news"
086fc,Female,22,18-24,United States,food
0875b,Other,16,16-17,United States,"news, food, gaming"
0879c,Male,30,25-34,Canada,lifestyle
087cc,Male,17,16-17,United Kingdom,"gaming, fashion"
087f2,Male,23,18-24,India,health
088d9,Female,20,18-24,Mexico,"sports, gaming"
089ba,Male,22,18-24,Canada,fitness
089c8,Male,22,18-24,India,technology
089f6,Female,24,18-24,United States,lifestyle
08b48,Female,21,18-24,Japan,news
08b69,Male,38,35-44,United Kingdom,fitness
08b7b,Female,23,18-24,France,health
08bc2,Male,18,18-24,United Kingdom,"food, technology"
08c19,Female,16,16-17,United Kingdom,"health, gaming"
08c90,Female,25,25-34,Brazil,"food, sports"
08d14,Other,35,35-44,United States,"fitness, sports"
08d2a,Male,31,25-34,United Kingdom,fashion
08d85,Male,35,35-44,Japan,finance
08f24,Other,26,25-34,Brazil,"sports, technology"
08f7e,Male,35,35-44,United States,"finance, gaming"
08f9a,Male,27,25-34,India,"fashion, lifestyle, news"
08f9b,Male,19,18-24,United States,"fashion, photography, travel"
0907f,Male,35,35-44,Mexico,"gaming, fitness, technology"
0933e,Male,28,25-34,India,"travel, finance"
093d4,Male,36,35-44,India,"food, art"
093fb,Female,32,25-34,Mexico,technology
0954c,Female,20,18-24,United States,fitness
095bf,Male,28,25-34,United Kingdom,"sports, health, food"
0960e,Other,49,45-54,United States,"fitness, health, fashion"
0976c,Other,21,18-24,Germany,"travel, fashion"
0978d,Female,27,25-34,India,"fashion, gaming"
097a5,Female,31,25-34,Australia,"health, sports"
097f5,Male,17,16-17,Australia,travel
0982b,Female,22,18-24,India,"sports, news"
098a5,Other,30,25-34,Germany,"fashion, lifestyle"
098d9,Male,16,16-17,United Kingdom,"fitness, news"
0998f,Male,35,35-44,Japan,"technology, lifestyle"
099d9,Male,36,35-44,United States,"lifestyle, health"
09a07,Female,35,35-44,Germany,"finance, photography, fitness"
09abc,Female,31,25-34,Australia,photography
09abd,Female,29,25-34,India,"photography, technology, gaming"
09b78,Male,16,16-17,United States,fashion
09bdf,Male,29,25-34,Canada,"health, travel, finance"
09d1b,Male,58,55-65,United Kingdom,fitness
09d41,Other,23,18-24,India,"finance, sports"
09d62,Male,21,18-24,Canada,lifestyle
09f3a,Male,32,25-34,Australia,"fitness, art"
09ffb,Male,33,25-34,Japan,finance
0a0a4,Female,46,45-54,Germany,"lifestyle, photography"
0a0fb,Male,33,25-34,France,"news, sports, finance"
0a19b,Male,36,35-44,India,"fitness, lifestyle"
0a1be,Female,26,25-34,United States,"news, sports, food"
0a38c,Male,27,25-34,Germany,"lifestyle, technology, art"
0a39c,Female,48,45-54,United Kingdom,technology
0a3a4,Female,35,35-44,France,finance
0a3b4,Male,27,25-34,United Kingdom,lifestyle
0a4ef,Other,30,25-34,India,"sports, lifestyle, finance"
0a508,Female,19,18-24,Germany,news
0a531,Male,25,25-34,United States,"fitness, fashion"
0a578,Male,32,25-34,United States,news
0a5ad,Other,46,45-54,Germany,travel
0a63d,Male,28,25-34,Germany,photography
0a65c,Other,24,18-24,United States,fashion
0a6a1,Female,21,18-24,United States,gaming
0a6ec,Other,42,35-44,Canada,news
0a71f,Female,30,25-34,India,finance
0a793,Female,16,16-17,Canada,"technology, art, fashion"
0a899,Male,21,18-24,France,"sports, lifestyle, fitness"
0a8a3,Female,22,18-24,Japan,"fitness, food, health"
0a8ca,Female,36,35-44,Canada,"sports, fitness, travel"
0a8dc,Female,18,18-24,United States,fitness
0a923,Male,28,25-34,Australia,fitness
0a947,Male,25,25-34,United States,photography
0aa2c,Male,31,25-34,Canada,"health, gaming"
0aa97,Male,24,18-24,United States,"fashion, fitness, sports"
0ab2d,Female,22,18-24,United Kingdom,"technology, fashion"
0ab44,Male,30,25-34,France,travel
0ab8b,Male,27,25-34,United States,"technology, art"
0abe2,Male,23,18-24,United States,"travel, lifestyle, art"
0abfb,Male,29,25-34,Canada,"art, finance"
0ac1b,Male,25,25-34,India,fashion
0ac7d,Male,17,16-17,Australia,"art, food, travel"
0ad1a,Other,20,18-24,Canada,"fitness, technology, sports"
0ad95,Other,34,25-34,India,"health, food, news"
0adfe,Male,40,35-44,Germany,"health, news"
0ae1b,Other,16,16-17,Canada,"news, travel"
0ae1d,Other,30,25-34,United States,"art, lifestyle, photography"
0ae44,Male,21,18-24,Mexico,"travel, news"
0ae62,Male,32,25-34,United States,"photography, sports"
0af4b,Male,23,18-24,United States,"fashion, news, lifestyle"
0b07a,Female,18,18-24,Canada,"fitness, gaming, technology"
0b082,Male,28,25-34,Japan,"finance, food, art"
0b0e7,Female,26,25-34,India,"sports, travel"
0b14a,Male,18,18-24,United States,"technology, news"
0b158,Male,17,16-17,United States,art
0b17d,Female,24,18-24,United States,"photography, finance"
0b1b4,Female,26,25-34,Brazil,"technology, travel, photography"
0b1fc,Female,34,25-34,Japan,food
0b2c8,Female,36,35-44,United Kingdom,"news, sports, fitness"
0b35e,Male,21,18-24,United States,"photography, gaming, sports"
0b3a1,Male,24,18-24,Japan,photography
0b3d6,Female,28,25-34,Germany,"fitness, sports, health"
0b3eb,Male,24,18-24,Canada,art
0b412,Male,38,35-44,Brazil,"art, technology, fashion"
0b424,Male,35,35-44,United States,"food, art"
0b4a2,Female,23,18-24,India,travel
0b4dc,Female,23,18-24,United Kingdom,"fitness, health, food"
0b522,Male,29,25-34,Canada,"fashion, travel"
0b58d,Male,23,18-24,Australia,fitness
0b5e0,Male,39,35-44,Germany,"news, lifestyle"
0b673,Male,33,25-34,United States,"art, fitness"
0b683,Male,17,16-17,United States,"gaming, travel"
0b6e8,Male,57,55-65,Canada,lifestyle
0b721,Male,18,18-24,Germany,"technology, fitness, food"
0b729,Female,21,18-24,India,"fitness, news"
0b810,Female,31,25-34,United States,"fashion, news"
0b854,Female,30,25-34,United States,news
0b8c2,Male,27,25-34,Canada,"art, technology"
0b8c5,Other,38,35-44,Germany,"art, gaming"
0b8e7,Male,31,25-34,United Kingdom,"art, fashion"
0b93e,Female,28,25-34,United States,"health, art"
0b98e,Male,24,18-24,Australia,"lifestyle, art"
0b999,Female,23,18-24,United States,"news, photography"
0ba50,Female,20,18-24,United Kingdom,"lifestyle, food, fashion"
0bb06,Female,25,25-34,United Kingdom,fashion
0bb40,Male,16,16-17,United Kingdom,"technology, lifestyle, art"
0bb70,Male,21,18-24,France,"photography, fitness, gaming"
0bc27,Male,29,25-34,United Kingdom,art
0bc40,Male,28,25-34,Japan,"fashion, photography, gaming"
0bc5c,Other,27,25-34,United Kingdom,fashion
0bc6f,Female,50,45-54,United States,art
0bc87,Male,32,25-34,India,"food, technology, photography"
0bd7d,Male,21,18-24,Canada,"gaming, photography, food"
0be73,Other,26,25-34,Brazil,"travel, technology"
0bfcb,Male,25,25-34,United States,"art, finance, fashion"
0c04e,Female,16,16-17,United Kingdom,finance
0c080,Other,30,25-34,United States,"news, lifestyle, food"
0c0a3,Female,36,35-44,United States,"news, sports"
0c13f,Male,30,25-34,Australia,news
0c2c7,Male,29,25-34,United States,"gaming, travel, finance"
0c3a6,Female,29,25-34,United Kingdom,"health, news, fashion"
0c3ea,Other,20,18-24,Germany,news
0c446,Female,35,35-44,Japan,"art, gaming, finance"
0c4f6,Male,30,25-34,United States,photography
0c502,Female,32,25-34,Germany,"news, food"
0c56b,Female,24,18-24,Japan,gaming
0c5fb,Male,19,18-24,Mexico,"travel, finance"
0c658,Female,34,25-34,United States,art
0c68a,Male,32,25-34,Brazil,"fitness, technology"
0c6d9,Female,30,25-34,United States,"fitness, gaming"
0c714,Male,36,35-44,Japan,"travel, finance, lifestyle"
0c78e,Male,18,18-24,United Kingdom,"lifestyle, travel, food"
0c9b9,Female,28,25-34,Australia,"food, health, photography"
0ca0c,Female,19,18-24,United States,"health, gaming, sports"
0ca44,Other,28,25-34,United Kingdom,"fashion, photography, news"
0ca4b,Male,27,25-34,India,"gaming, fitness"
0cad0,Other,28,25-34,United States,"technology, travel"
0cb17,Other,16,16-17,Japan,fitness
0cb5f,Male,26,25-34,United Kingdom,"art, fitness"
0cbc5,Male,18,18-24,Australia,"technology, art, news"
0cbef,Female,26,25-34,India,"fitness, news, art"
0ccae,Male,16,16-17,United States,fitness
0cd41,Male,34,25-34,United States,"lifestyle, news"
0cdf2,Female,28,25-34,United Kingdom,"food, sports"
0ce1b,Male,18,18-24,United Kingdom,"technology, news"
0ce30,Female,22,18-24,United States,lifestyle
0ce7e,Female,47,45-54,Germany,health
0cf22,Male,28,25-34,Australia,fitness
0cf8f,Female,25,25-34,India,"health, fashion, sports"
0cfd9,Male,21,18-24,Germany,"food, sports, fitness"
0d013,Male,16,16-17,United States,"finance, news"
0d037,Male,36,35-44,United States,gaming
0d09b,Male,29,25-34,Brazil,fashion
0d0f6,Female,30,25-34,France,"health, sports, fitness"
0d148,Male,16,16-17,Australia,"news, art"
0d2a8,Other,20,18-24,Japan,photography
0d3fb,Other,26,25-34,Japan,sports
0d483,Male,32,25-34,Australia,news
0d4cc,Male,28,25-34,United Kingdom,"fashion, finance"
0d4d1,Female,24,18-24,Australia,"health, gaming, technology"
0d5b0,Male,20,18-24,United States,fitness
0d5f9,Male,27,25-34,Mexico,technology
0d607,Male,31,25-34,United Kingdom,sports
0d6d0,Female,22,18-24,Japan,"travel, lifestyle"
0d6d8,Female,28,25-34,Mexico,health
0d6fc,Male,26,25-34,Brazil,"art, food, fitness"
0d752,Female,26,25-34,United States,"news, fitness"
0d760,Male,20,18-24,United States,"finance, sports, food"
0d765,Other,27,25-34,Mexico,finance
0d788,Female,29,25-34,France,"finance, sports, food"
0d7cd,Male,17,16-17,Canada,lifestyle
0d850,Female,18,18-24,Canada,lifestyle
0d8f2,Female,29,25-34,Canada,travel
0d9be,Male,43,35-44,India,"food, sports, news"
0d9eb,Female,55,55-65,Australia,"photography, food"
0d9f5,Female,16,16-17,United States,"sports, art, fashion"
0dac5,Other,22,18-24,Japan,fitness
0db95,Female,41,35-44,United States,"fashion, health"
0dbfc,Other,29,25-34,Japan,news
0dc2f,Male,16,16-17,Mexico,gaming
0dc46,Female,21,18-24,Australia,"food, news"
0dc58,Male,28,25-34,Mexico,fashion
0dc59,Female,31,25-34,Australia,"finance, fitness, food"
0dcd3,Female,23,18-24,Germany,finance
0dd23,Male,48,45-54,Brazil,"gaming, sports, news"
0df67,Male,25,25-34,Mexico,"gaming, travel, finance"
0dfd8,Male,29,25-34,India,"gaming, health, travel"
0e10d,Male,23,18-24,United States,"fashion, technology, gaming"
0e19c,Male,20,18-24,India,technology
0e1a7,Female,31,25-34,India,"technology, photography, news"
0e21c,Female,23,18-24,Japan,art
0e2e2,Female,16,16-17,India,"food, lifestyle, photography"
0e346,Other,19,18-24,India,gaming
0e387,Male,20,18-24,United States,"technology, health"
0e4b6,Male,23,18-24,United Kingdom,"finance, health, sports"
0e557,Male,22,18-24,India,finance
0e55b,Male,20,18-24,United States,"art, news"
0e561,Male,37,35-44,Brazil,"art, gaming"
0e59b,Other,33,25-34,Canada,fitness
0e66b,Male,25,25-34,France,"gaming, lifestyle, sports"
0e754,Male,19,18-24,United States,travel
0e846,Female,16,16-17,United Kingdom,"fashion, technology, sports"
0e96e,Female,21,18-24,India,"finance, fashion, art"
0e97e,Male,20,18-24,Brazil,"sports, food, lifestyle"
0e9cb,Male,26,25-34,United States,"lifestyle, photography, fitness"
0e9ed,Male,26,25-34,United States,"fitness, news, health"
0e9ee,Male,21,18-24,India,sports
0ebd6,Male,30,25-34,Canada,health
0ec90,Male,24,18-24,Canada,"technology, finance, gaming"
0ecad,Female,31,25-34,United States,"fashion, fitness, sports"
0ecf6,Female,19,18-24,United States,"lifestyle, photography"
0edd6,Female,24,18-24,United States,sports
0eecb,Female,28,25-34,United States,photography
0ef32,Female,19,18-24,India,"art, travel"
0ef61,Male,44,35-44,Canada,"food, gaming"
0ef9f,Male,27,25-34,United States,"health, lifestyle, finance"
0eff3,Male,21,18-24,Australia,"art, fashion, sports"
0f074,Male,45,45-54,United States,"health, fashion"
0f0be,Male,38,35-44,Brazil,technology
0f0e0,Male,19,18-24,United States,"sports, travel"
0f0e7,Female,19,18-24,United States,"photography, finance"
0f0fa,Male,42,35-44,Germany,"food, fitness"
0f119,Female,38,35-44,France,"fitness, food"
0f18e,Female,33,25-34,India,gaming
0f1a9,Male,26,25-34,Japan,"fitness, travel"
0f29e,Other,36,35-44,Canada,"travel, finance, news"
0f30e,Female,20,18-24,United Kingdom,"gaming, news, health"
0f3ec,Male,33,25-34,Canada,"travel, finance"
0f4c0,Female,30,25-34,United States,"news, technology"
0f501,Male,19,18-24,India,art
0f55d,Male,21,18-24,Australia,lifestyle
0f5ee,Female,29,25-34,United States,"photography, food, gaming"
0f5f5,Other,29,25-34,United Kingdom,"technology, finance"
0f602,Female,16,16-17,France,sports
0f617,Other,25,25-34,United States,"food, lifestyle"
0f61f,Other,20,18-24,United States,"fitness, gaming, photography"
0f6a4,Other,21,18-24,United States,gaming
0f6cc,Female,31,25-34,United States,"gaming, finance"
0f758,Female,26,25-34,United States,photography
0f872,Female,19,18-24,United States,"lifestyle, fitness"
0f882,Female,27,25-34,United States,"fitness, food"
0f8ba,Male,29,25-34,Canada,"fashion, art"
0f8d9,Male,24,18-24,Australia,"finance, lifestyle, sports"
0f9d5,Male,20,18-24,United States,"photography, food"
0fa78,Female,37,35-44,United States,"finance, art"
0fa7a,Female,25,25-34,Japan,"technology, travel, photography"
0fa96,Female,33,25-34,United States,"lifestyle, art, photography"
0faad,Female,34,25-34,India,fashion
0fae7,Male,32,25-34,United States,"photography, sports, gaming"
0fb16,Male,22,18-24,Canada,"food, health, art"
0fb3c,Male,16,16-17,United States,"travel, food, finance"
0fb65,Male,22,18-24,United States,"food, sports, health"
0fce2,Other,18,18-24,Japan,"news, health"
0fda0,Male,25,25-34,United States,"lifestyle, gaming"
0fdd7,Female,34,25-34,Brazil,news
0fe19,Male,29,25-34,United States,"fashion, photography"
0fe62,Male,24,18-24,Germany,"fitness, finance"
0fe76,Female,28,25-34,India,"sports, art"
0fe7a,Other,39,35-44,United Kingdom,"gaming, travel"
0fe8b,Male,46,45-54,Germany,health
0ff2f,Female,28,25-34,United States,photography
0ffc6,Male,34,25-34,Germany,"health, sports, lifestyle"
1.00E+07,Female,17,16-17,Canada,"gaming, sports"
1.00E+10,Female,28,25-34,France,sports
1.00E+115,Female,25,25-34,Canada,fashion
1.00E+155,Other,26,25-34,United States,"fashion, health"
1.00E+28,Female,27,25-34,France,"sports, fashion, lifestyle"
1.00E+33,Other,28,25-34,United States,"health, gaming, fashion"
1.00E+85,Female,24,18-24,Japan,health
1.07E+02,Male,33,25-34,United States,food
1.09E+10,Male,20,18-24,Australia,art
1.20E+01,Male,56,55-65,Japan,"lifestyle, health"
1.20E+02,Male,38,35-44,Canada,"fashion, news"
1.20E+74,Other,26,25-34,Germany,"health, fashion"
1.30E+08,Male,19,18-24,United States,"food, travel, news"
1.30E+39,Female,33,25-34,India,"fitness, technology"
1.36E+11,Male,21,18-24,Canada,fashion
1.40E+10,Male,22,18-24,United States,"technology, art"
1.40E+25,Other,17,16-17,United States,fashion
1.41E+07,Male,21,18-24,Germany,"food, fitness, lifestyle"
1.50E+32,Female,16,16-17,United States,"photography, sports, news"
1.51E+10,Female,22,18-24,Japan,"lifestyle, fitness"
1.60E+99,Female,21,18-24,United States,"travel, health"
1.70E+52,Female,30,25-34,Brazil,art
1.72E+02,Female,31,25-34,United Kingdom,"finance, sports"
1.75E+03,Male,27,25-34,United States,fashion
1.80E+54,Male,16,16-17,Canada,"technology, finance"
1.80E+56,Male,26,25-34,Australia,"gaming, photography, health"
1.87E+07,Other,21,18-24,United Kingdom,health
1.90E+48,Female,18,18-24,United Kingdom,technology
1.90E+76,Male,23,18-24,Mexico,"health, sports, fashion"
1.90E+86,Female,28,25-34,United Kingdom,"lifestyle, fitness, food"
10005,Male,34,25-34,Brazil,"fitness, photography, finance"
1015d,Female,17,16-17,Australia,"health, finance"
10169,Female,27,25-34,United Kingdom,"fitness, food"
101f3,Other,22,18-24,United States,"technology, travel"
1029,Male,29,25-34,United States,"finance, technology, gaming"
10290,Male,29,25-34,United Kingdom,"lifestyle, fashion, fitness"
102c5,Male,24,18-24,France,"fitness, finance"
1031f,Male,21,18-24,Brazil,fashion
