date_key,date,year,quarter,month,month_name,week_of_year,day,day_of_week,hour,time_of_day
20250527,2025-05-27,2025,2,5,May,22,27,Tuesday,17,Afternoon
20250614,2025-06-14,2025,2,6,June,24,14,Saturday,12,Afternoon
20250728,2025-07-28,2025,3,7,July,31,28,Monday,1,Night
20250704,2025-07-04,2025,3,7,July,27,4,Friday,19,Evening
20250530,2025-05-30,2025,2,5,May,22,30,Friday,13,Afternoon
20250619,2025-06-19,2025,2,6,June,25,19,Thursday,18,Evening
20250523,2025-05-23,2025,2,5,May,21,23,Friday,5,Night
20250609,2025-06-09,2025,2,6,June,24,9,Monday,23,Evening
20250701,2025-07-01,2025,3,7,July,27,1,Tuesday,3,Night
20250622,2025-06-22,2025,2,6,June,25,22,Sunday,12,Afternoon
20250522,2025-05-22,2025,2,5,May,21,22,Thursday,22,Evening
20250711,2025-07-11,2025,3,7,July,28,11,Friday,0,Night
20250519,2025-05-19,2025,2,5,May,21,19,Monday,2,Night
20250627,2025-06-27,2025,2,6,June,26,27,Friday,23,Evening
20250711,2025-07-11,2025,3,7,July,28,11,Friday,16,Afternoon
20250803,2025-08-03,2025,3,8,August,31,3,Sunday,16,Afternoon
20250709,2025-07-09,2025,3,7,July,28,9,Wednesday,14,Afternoon
20250513,2025-05-13,2025,2,5,May,20,13,Tuesday,18,Evening
20250721,2025-07-21,2025,3,7,July,30,21,Monday,10,Morning
20250726,2025-07-26,2025,3,7,July,30,26,Saturday,8,Morning
20250804,2025-08-04,2025,3,8,August,32,4,Monday,9,Morning
20250702,2025-07-02,2025,3,7,July,27,2,Wednesday,9,Morning
20250606,2025-06-06,2025,2,6,June,23,6,Friday,13,Afternoon
20250708,2025-07-08,2025,3,7,July,28,8,Tuesday,5,Night
20250520,2025-05-20,2025,2,5,May,21,20,Tuesday,0,Night
20250725,2025-07-25,2025,3,7,July,30,25,Friday,15,Afternoon
20250627,2025-06-27,2025,2,6,June,26,27,Friday,11,Morning
20250521,2025-05-21,2025,2,5,May,21,21,Wednesday,15,Afternoon
20250514,2025-05-14,2025,2,5,May,20,14,Wednesday,18,Evening
20250628,2025-06-28,2025,2,6,June,26,28,Saturday,10,Morning
20250602,2025-06-02,2025,2,6,June,23,2,Monday,14,Afternoon
20250515,2025-05-15,2025,2,5,May,20,15,Thursday,4,Night
20250624,2025-06-24,2025,2,6,June,26,24,Tuesday,7,Morning
20250724,2025-07-24,2025,3,7,July,30,24,Thursday,5,Night
20250518,2025-05-18,2025,2,5,May,20,18,Sunday,2,Night
20250528,2025-05-28,2025,2,5,May,22,28,Wednesday,11,Morning
20250602,2025-06-02,2025,2,6,June,23,2,Monday,9,Morning
20250507,2025-05-07,2025,2,5,May,19,7,Wednesday,17,Afternoon
20250718,2025-07-18,2025,3,7,July,29,18,Friday,1,Night
20250523,2025-05-23,2025,2,5,May,21,23,Friday,10,Morning
20250617,2025-06-17,2025,2,6,June,25,17,Tuesday,22,Evening
20250531,2025-05-31,2025,2,5,May,22,31,Saturday,22,Evening
20250720,2025-07-20,2025,3,7,July,29,20,Sunday,1,Night
20250609,2025-06-09,2025,2,6,June,24,9,Monday,14,Afternoon
20250806,2025-08-06,2025,3,8,August,32,6,Wednesday,10,Morning
20250629,2025-06-29,2025,2,6,June,26,29,Sunday,11,Morning
20250713,2025-07-13,2025,3,7,July,28,13,Sunday,11,Morning
20250520,2025-05-20,2025,2,5,May,21,20,Tuesday,8,Morning
20250707,2025-07-07,2025,3,7,July,28,7,Monday,23,Evening
20250706,2025-07-06,2025,3,7,July,27,6,Sunday,10,Morning
20250625,2025-06-25,2025,2,6,June,26,25,Wednesday,10,Morning
20250628,2025-06-28,2025,2,6,June,26,28,Saturday,11,Morning
20250620,2025-06-20,2025,2,6,June,25,20,Friday,16,Afternoon
20250717,2025-07-17,2025,3,7,July,29,17,Thursday,0,Night
20250626,2025-06-26,2025,2,6,June,26,26,Thursday,14,Afternoon
20250709,2025-07-09,2025,3,7,July,28,9,Wednesday,9,Morning
20250701,2025-07-01,2025,3,7,July,27,1,Tuesday,22,Evening
20250707,2025-07-07,2025,3,7,July,28,7,Monday,8,Morning
20250624,2025-06-24,2025,2,6,June,26,24,Tuesday,8,Morning
20250611,2025-06-11,2025,2,6,June,24,11,Wednesday,10,Morning
20250723,2025-07-23,2025,3,7,July,30,23,Wednesday,0,Night
20250613,2025-06-13,2025,2,6,June,24,13,Friday,5,Night
20250623,2025-06-23,2025,2,6,June,26,23,Monday,18,Evening
20250515,2025-05-15,2025,2,5,May,20,15,Thursday,11,Morning
20250703,2025-07-03,2025,3,7,July,27,3,Thursday,12,Afternoon
20250716,2025-07-16,2025,3,7,July,29,16,Wednesday,20,Evening
20250608,2025-06-08,2025,2,6,June,23,8,Sunday,20,Evening
20250521,2025-05-21,2025,2,5,May,21,21,Wednesday,18,Evening
20250723,2025-07-23,2025,3,7,July,30,23,Wednesday,16,Afternoon
20250529,2025-05-29,2025,2,5,May,22,29,Thursday,17,Afternoon
20250730,2025-07-30,2025,3,7,July,31,30,Wednesday,1,Night
20250723,2025-07-23,2025,3,7,July,30,23,Wednesday,17,Afternoon
20250517,2025-05-17,2025,2,5,May,20,17,Saturday,0,Night
20250528,2025-05-28,2025,2,5,May,22,28,Wednesday,15,Afternoon
20250517,2025-05-17,2025,2,5,May,20,17,Saturday,7,Morning
20250519,2025-05-19,2025,2,5,May,21,19,Monday,12,Afternoon
20250529,2025-05-29,2025,2,5,May,22,29,Thursday,2,Night
20250705,2025-07-05,2025,3,7,July,27,5,Saturday,7,Morning
20250520,2025-05-20,2025,2,5,May,21,20,Tuesday,22,Evening
20250517,2025-05-17,2025,2,5,May,20,17,Saturday,23,Evening
20250526,2025-05-26,2025,2,5,May,22,26,Monday,13,Afternoon
20250715,2025-07-15,2025,3,7,July,29,15,Tuesday,15,Afternoon
20250728,2025-07-28,2025,3,7,July,31,28,Monday,16,Afternoon
20250730,2025-07-30,2025,3,7,July,31,30,Wednesday,6,Morning
20250730,2025-07-30,2025,3,7,July,31,30,Wednesday,20,Evening
20250605,2025-06-05,2025,2,6,June,23,5,Thursday,16,Afternoon
20250526,2025-05-26,2025,2,5,May,22,26,Monday,0,Night
20250530,2025-05-30,2025,2,5,May,22,30,Friday,8,Morning
20250528,2025-05-28,2025,2,5,May,22,28,Wednesday,4,Night
20250717,2025-07-17,2025,3,7,July,29,17,Thursday,23,Evening
20250717,2025-07-17,2025,3,7,July,29,17,Thursday,9,Morning
20250611,2025-06-11,2025,2,6,June,24,11,Wednesday,7,Morning
20250715,2025-07-15,2025,3,7,July,29,15,Tuesday,12,Afternoon
20250703,2025-07-03,2025,3,7,July,27,3,Thursday,11,Morning
20250519,2025-05-19,2025,2,5,May,21,19,Monday,16,Afternoon
20250607,2025-06-07,2025,2,6,June,23,7,Saturday,2,Night
20250720,2025-07-20,2025,3,7,July,29,20,Sunday,23,Evening
20250622,2025-06-22,2025,2,6,June,25,22,Sunday,1,Night
20250708,2025-07-08,2025,3,7,July,28,8,Tuesday,15,Afternoon
20250802,2025-08-02,2025,3,8,August,31,2,Saturday,15,Afternoon
20250527,2025-05-27,2025,2,5,May,22,27,Tuesday,8,Morning
20250721,2025-07-21,2025,3,7,July,30,21,Monday,4,Night
20250717,2025-07-17,2025,3,7,July,29,17,Thursday,21,Evening
20250523,2025-05-23,2025,2,5,May,21,23,Friday,6,Morning
20250621,2025-06-21,2025,2,6,June,25,21,Saturday,17,Afternoon
20250519,2025-05-19,2025,2,5,May,21,19,Monday,14,Afternoon
20250618,2025-06-18,2025,2,6,June,25,18,Wednesday,13,Afternoon
20250721,2025-07-21,2025,3,7,July,30,21,Monday,6,Morning
20250525,2025-05-25,2025,2,5,May,21,25,Sunday,14,Afternoon
20250605,2025-06-05,2025,2,6,June,23,5,Thursday,17,Afternoon
20250508,2025-05-08,2025,2,5,May,19,8,Thursday,23,Evening
20250607,2025-06-07,2025,2,6,June,23,7,Saturday,13,Afternoon
20250806,2025-08-06,2025,3,8,August,32,6,Wednesday,13,Afternoon
20250626,2025-06-26,2025,2,6,June,26,26,Thursday,10,Morning
20250721,2025-07-21,2025,3,7,July,30,21,Monday,5,Night
20250601,2025-06-01,2025,2,6,June,22,1,Sunday,8,Morning
20250603,2025-06-03,2025,2,6,June,23,3,Tuesday,17,Afternoon
20250528,2025-05-28,2025,2,5,May,22,28,Wednesday,19,Evening
20250508,2025-05-08,2025,2,5,May,19,8,Thursday,18,Evening
20250508,2025-05-08,2025,2,5,May,19,8,Thursday,17,Afternoon
20250602,2025-06-02,2025,2,6,June,23,2,Monday,17,Afternoon
20250520,2025-05-20,2025,2,5,May,21,20,Tuesday,3,Night
20250630,2025-06-30,2025,2,6,June,27,30,Monday,3,Night
20250610,2025-06-10,2025,2,6,June,24,10,Tuesday,6,Morning
20250729,2025-07-29,2025,3,7,July,31,29,Tuesday,5,Night
20250611,2025-06-11,2025,2,6,June,24,11,Wednesday,18,Evening
20250627,2025-06-27,2025,2,6,June,26,27,Friday,18,Evening
20250725,2025-07-25,2025,3,7,July,30,25,Friday,9,Morning
20250719,2025-07-19,2025,3,7,July,29,19,Saturday,11,Morning
20250515,2025-05-15,2025,2,5,May,20,15,Thursday,14,Afternoon
20250530,2025-05-30,2025,2,5,May,22,30,Friday,19,Evening
20250713,2025-07-13,2025,3,7,July,28,13,Sunday,13,Afternoon
20250726,2025-07-26,2025,3,7,July,30,26,Saturday,13,Afternoon
20250722,2025-07-22,2025,3,7,July,30,22,Tuesday,20,Evening
20250727,2025-07-27,2025,3,7,July,30,27,Sunday,7,Morning
20250521,2025-05-21,2025,2,5,May,21,21,Wednesday,17,Afternoon
20250614,2025-06-14,2025,2,6,June,24,14,Saturday,11,Morning
20250627,2025-06-27,2025,2,6,June,26,27,Friday,10,Morning
20250724,2025-07-24,2025,3,7,July,30,24,Thursday,16,Afternoon
20250526,2025-05-26,2025,2,5,May,22,26,Monday,8,Morning
20250718,2025-07-18,2025,3,7,July,29,18,Friday,7,Morning
20250516,2025-05-16,2025,2,5,May,20,16,Friday,1,Night
20250529,2025-05-29,2025,2,5,May,22,29,Thursday,0,Night
20250513,2025-05-13,2025,2,5,May,20,13,Tuesday,16,Afternoon
20250719,2025-07-19,2025,3,7,July,29,19,Saturday,10,Morning
20250707,2025-07-07,2025,3,7,July,28,7,Monday,10,Morning
20250527,2025-05-27,2025,2,5,May,22,27,Tuesday,4,Night
20250729,2025-07-29,2025,3,7,July,31,29,Tuesday,2,Night
20250521,2025-05-21,2025,2,5,May,21,21,Wednesday,23,Evening
20250716,2025-07-16,2025,3,7,July,29,16,Wednesday,17,Afternoon
20250625,2025-06-25,2025,2,6,June,26,25,Wednesday,5,Night
20250511,2025-05-11,2025,2,5,May,19,11,Sunday,7,Morning
20250615,2025-06-15,2025,2,6,June,24,15,Sunday,18,Evening
20250604,2025-06-04,2025,2,6,June,23,4,Wednesday,13,Afternoon
20250523,2025-05-23,2025,2,5,May,21,23,Friday,23,Evening
20250705,2025-07-05,2025,3,7,July,27,5,Saturday,16,Afternoon
20250509,2025-05-09,2025,2,5,May,19,9,Friday,8,Morning
20250728,2025-07-28,2025,3,7,July,31,28,Monday,2,Night
20250728,2025-07-28,2025,3,7,July,31,28,Monday,5,Night
20250604,2025-06-04,2025,2,6,June,23,4,Wednesday,15,Afternoon
20250702,2025-07-02,2025,3,7,July,27,2,Wednesday,20,Evening
20250716,2025-07-16,2025,3,7,July,29,16,Wednesday,4,Night
20250609,2025-06-09,2025,2,6,June,24,9,Monday,20,Evening
20250620,2025-06-20,2025,2,6,June,25,20,Friday,17,Afternoon
20250614,2025-06-14,2025,2,6,June,24,14,Saturday,9,Morning
20250717,2025-07-17,2025,3,7,July,29,17,Thursday,4,Night
20250508,2025-05-08,2025,2,5,May,19,8,Thursday,5,Night
20250803,2025-08-03,2025,3,8,August,31,3,Sunday,18,Evening
20250625,2025-06-25,2025,2,6,June,26,25,Wednesday,4,Night
20250730,2025-07-30,2025,3,7,July,31,30,Wednesday,21,Evening
20250709,2025-07-09,2025,3,7,July,28,9,Wednesday,4,Night
20250714,2025-07-14,2025,3,7,July,29,14,Monday,11,Morning
20250706,2025-07-06,2025,3,7,July,27,6,Sunday,4,Night
20250618,2025-06-18,2025,2,6,June,25,18,Wednesday,7,Morning
20250603,2025-06-03,2025,2,6,June,23,3,Tuesday,14,Afternoon
20250516,2025-05-16,2025,2,5,May,20,16,Friday,2,Night
20250523,2025-05-23,2025,2,5,May,21,23,Friday,12,Afternoon
20250615,2025-06-15,2025,2,6,June,24,15,Sunday,21,Evening
20250507,2025-05-07,2025,2,5,May,19,7,Wednesday,15,Afternoon
20250728,2025-07-28,2025,3,7,July,31,28,Monday,4,Night
20250613,2025-06-13,2025,2,6,June,24,13,Friday,17,Afternoon
20250711,2025-07-11,2025,3,7,July,28,11,Friday,22,Evening
20250624,2025-06-24,2025,2,6,June,26,24,Tuesday,17,Afternoon
20250629,2025-06-29,2025,2,6,June,26,29,Sunday,6,Morning
20250520,2025-05-20,2025,2,5,May,21,20,Tuesday,18,Evening
20250801,2025-08-01,2025,3,8,August,31,1,Friday,11,Morning
20250625,2025-06-25,2025,2,6,June,26,25,Wednesday,2,Night
20250601,2025-06-01,2025,2,6,June,22,1,Sunday,0,Night
20250805,2025-08-05,2025,3,8,August,32,5,Tuesday,17,Afternoon
20250731,2025-07-31,2025,3,7,July,31,31,Thursday,1,Night
20250726,2025-07-26,2025,3,7,July,30,26,Saturday,23,Evening
20250525,2025-05-25,2025,2,5,May,21,25,Sunday,22,Evening
20250610,2025-06-10,2025,2,6,June,24,10,Tuesday,5,Night
20250803,2025-08-03,2025,3,8,August,31,3,Sunday,0,Night
20250610,2025-06-10,2025,2,6,June,24,10,Tuesday,11,Morning
20250530,2025-05-30,2025,2,5,May,22,30,Friday,14,Afternoon
20250625,2025-06-25,2025,2,6,June,26,25,Wednesday,1,Night
20250726,2025-07-26,2025,3,7,July,30,26,Saturday,6,Morning
20250701,2025-07-01,2025,3,7,July,27,1,Tuesday,6,Morning
20250615,2025-06-15,2025,2,6,June,24,15,Sunday,6,Morning
20250612,2025-06-12,2025,2,6,June,24,12,Thursday,20,Evening
20250730,2025-07-30,2025,3,7,July,31,30,Wednesday,19,Evening
20250513,2025-05-13,2025,2,5,May,20,13,Tuesday,0,Night
20250604,2025-06-04,2025,2,6,June,23,4,Wednesday,16,Afternoon
20250621,2025-06-21,2025,2,6,June,25,21,Saturday,4,Night
20250722,2025-07-22,2025,3,7,July,30,22,Tuesday,23,Evening
20250625,2025-06-25,2025,2,6,June,26,25,Wednesday,17,Afternoon
20250610,2025-06-10,2025,2,6,June,24,10,Tuesday,9,Morning
20250522,2025-05-22,2025,2,5,May,21,22,Thursday,18,Evening
20250628,2025-06-28,2025,2,6,June,26,28,Saturday,1,Night
20250705,2025-07-05,2025,3,7,July,27,5,Saturday,5,Night
20250802,2025-08-02,2025,3,8,August,31,2,Saturday,17,Afternoon
20250604,2025-06-04,2025,2,6,June,23,4,Wednesday,7,Morning
20250702,2025-07-02,2025,3,7,July,27,2,Wednesday,17,Afternoon
20250514,2025-05-14,2025,2,5,May,20,14,Wednesday,12,Afternoon
20250516,2025-05-16,2025,2,5,May,20,16,Friday,14,Afternoon
20250604,2025-06-04,2025,2,6,June,23,4,Wednesday,18,Evening
20250513,2025-05-13,2025,2,5,May,20,13,Tuesday,7,Morning
20250510,2025-05-10,2025,2,5,May,19,10,Saturday,15,Afternoon
20250609,2025-06-09,2025,2,6,June,24,9,Monday,16,Afternoon
20250701,2025-07-01,2025,3,7,July,27,1,Tuesday,19,Evening
20250624,2025-06-24,2025,2,6,June,26,24,Tuesday,2,Night
20250727,2025-07-27,2025,3,7,July,30,27,Sunday,23,Evening
20250729,2025-07-29,2025,3,7,July,31,29,Tuesday,8,Morning
20250701,2025-07-01,2025,3,7,July,27,1,Tuesday,9,Morning
20250731,2025-07-31,2025,3,7,July,31,31,Thursday,22,Evening
20250526,2025-05-26,2025,2,5,May,22,26,Monday,17,Afternoon
20250620,2025-06-20,2025,2,6,June,25,20,Friday,7,Morning
20250801,2025-08-01,2025,3,8,August,31,1,Friday,1,Night
20250628,2025-06-28,2025,2,6,June,26,28,Saturday,13,Afternoon
20250731,2025-07-31,2025,3,7,July,31,31,Thursday,9,Morning
20250720,2025-07-20,2025,3,7,July,29,20,Sunday,7,Morning
20250803,2025-08-03,2025,3,8,August,31,3,Sunday,10,Morning
20250628,2025-06-28,2025,2,6,June,26,28,Saturday,22,Evening
20250622,2025-06-22,2025,2,6,June,25,22,Sunday,15,Afternoon
20250709,2025-07-09,2025,3,7,July,28,9,Wednesday,23,Evening
20250512,2025-05-12,2025,2,5,May,20,12,Monday,7,Morning
20250804,2025-08-04,2025,3,8,August,32,4,Monday,10,Morning
20250531,2025-05-31,2025,2,5,May,22,31,Saturday,23,Evening
20250623,2025-06-23,2025,2,6,June,26,23,Monday,10,Morning
20250702,2025-07-02,2025,3,7,July,27,2,Wednesday,0,Night
20250702,2025-07-02,2025,3,7,July,27,2,Wednesday,1,Night
20250608,2025-06-08,2025,2,6,June,23,8,Sunday,7,Morning
20250721,2025-07-21,2025,3,7,July,30,21,Monday,0,Night
20250708,2025-07-08,2025,3,7,July,28,8,Tuesday,0,Night
20250623,2025-06-23,2025,2,6,June,26,23,Monday,15,Afternoon
20250722,2025-07-22,2025,3,7,July,30,22,Tuesday,22,Evening
20250612,2025-06-12,2025,2,6,June,24,12,Thursday,6,Morning
20250524,2025-05-24,2025,2,5,May,21,24,Saturday,16,Afternoon
20250729,2025-07-29,2025,3,7,July,31,29,Tuesday,14,Afternoon
20250704,2025-07-04,2025,3,7,July,27,4,Friday,3,Night
20250621,2025-06-21,2025,2,6,June,25,21,Saturday,11,Morning
20250626,2025-06-26,2025,2,6,June,26,26,Thursday,13,Afternoon
20250520,2025-05-20,2025,2,5,May,21,20,Tuesday,14,Afternoon
20250620,2025-06-20,2025,2,6,June,25,20,Friday,19,Evening
20250525,2025-05-25,2025,2,5,May,21,25,Sunday,3,Night
20250627,2025-06-27,2025,2,6,June,26,27,Friday,3,Night
20250730,2025-07-30,2025,3,7,July,31,30,Wednesday,12,Afternoon
20250511,2025-05-11,2025,2,5,May,19,11,Sunday,3,Night
20250801,2025-08-01,2025,3,8,August,31,1,Friday,5,Night
20250726,2025-07-26,2025,3,7,July,30,26,Saturday,18,Evening
20250727,2025-07-27,2025,3,7,July,30,27,Sunday,2,Night
20250714,2025-07-14,2025,3,7,July,29,14,Monday,1,Night
20250724,2025-07-24,2025,3,7,July,30,24,Thursday,8,Morning
20250705,2025-07-05,2025,3,7,July,27,5,Saturday,10,Morning
20250730,2025-07-30,2025,3,7,July,31,30,Wednesday,17,Afternoon
20250702,2025-07-02,2025,3,7,July,27,2,Wednesday,8,Morning
20250614,2025-06-14,2025,2,6,June,24,14,Saturday,6,Morning
20250612,2025-06-12,2025,2,6,June,24,12,Thursday,7,Morning
20250620,2025-06-20,2025,2,6,June,25,20,Friday,5,Night
20250629,2025-06-29,2025,2,6,June,26,29,Sunday,2,Night
20250522,2025-05-22,2025,2,5,May,21,22,Thursday,10,Morning
20250701,2025-07-01,2025,3,7,July,27,1,Tuesday,7,Morning
20250701,2025-07-01,2025,3,7,July,27,1,Tuesday,13,Afternoon
20250510,2025-05-10,2025,2,5,May,19,10,Saturday,6,Morning
20250628,2025-06-28,2025,2,6,June,26,28,Saturday,20,Evening
20250623,2025-06-23,2025,2,6,June,26,23,Monday,3,Night
20250513,2025-05-13,2025,2,5,May,20,13,Tuesday,15,Afternoon
20250723,2025-07-23,2025,3,7,July,30,23,Wednesday,13,Afternoon
20250616,2025-06-16,2025,2,6,June,25,16,Monday,16,Afternoon
20250712,2025-07-12,2025,3,7,July,28,12,Saturday,5,Night
20250717,2025-07-17,2025,3,7,July,29,17,Thursday,18,Evening
20250613,2025-06-13,2025,2,6,June,24,13,Friday,6,Morning
20250529,2025-05-29,2025,2,5,May,22,29,Thursday,23,Evening
20250727,2025-07-27,2025,3,7,July,30,27,Sunday,11,Morning
20250721,2025-07-21,2025,3,7,July,30,21,Monday,14,Afternoon
20250512,2025-05-12,2025,2,5,May,20,12,Monday,19,Evening
20250710,2025-07-10,2025,3,7,July,28,10,Thursday,16,Afternoon
20250521,2025-05-21,2025,2,5,May,21,21,Wednesday,4,Night
20250615,2025-06-15,2025,2,6,June,24,15,Sunday,17,Afternoon
20250613,2025-06-13,2025,2,6,June,24,13,Friday,14,Afternoon
20250628,2025-06-28,2025,2,6,June,26,28,Saturday,3,Night
20250604,2025-06-04,2025,2,6,June,23,4,Wednesday,21,Evening
20250708,2025-07-08,2025,3,7,July,28,8,Tuesday,22,Evening
20250617,2025-06-17,2025,2,6,June,25,17,Tuesday,9,Morning
20250629,2025-06-29,2025,2,6,June,26,29,Sunday,13,Afternoon
20250725,2025-07-25,2025,3,7,July,30,25,Friday,14,Afternoon
20250623,2025-06-23,2025,2,6,June,26,23,Monday,0,Night
20250729,2025-07-29,2025,3,7,July,31,29,Tuesday,7,Morning
20250623,2025-06-23,2025,2,6,June,26,23,Monday,23,Evening
20250731,2025-07-31,2025,3,7,July,31,31,Thursday,0,Night
20250517,2025-05-17,2025,2,5,May,20,17,Saturday,11,Morning
20250613,2025-06-13,2025,2,6,June,24,13,Friday,19,Evening
20250705,2025-07-05,2025,3,7,July,27,5,Saturday,22,Evening
20250511,2025-05-11,2025,2,5,May,19,11,Sunday,5,Night
20250514,2025-05-14,2025,2,5,May,20,14,Wednesday,2,Night
20250704,2025-07-04,2025,3,7,July,27,4,Friday,16,Afternoon
20250530,2025-05-30,2025,2,5,May,22,30,Friday,23,Evening
20250629,2025-06-29,2025,2,6,June,26,29,Sunday,20,Evening
20250717,2025-07-17,2025,3,7,July,29,17,Thursday,2,Night
20250531,2025-05-31,2025,2,5,May,22,31,Saturday,19,Evening
20250521,2025-05-21,2025,2,5,May,21,21,Wednesday,5,Night
20250801,2025-08-01,2025,3,8,August,31,1,Friday,3,Night
20250704,2025-07-04,2025,3,7,July,27,4,Friday,6,Morning
20250624,2025-06-24,2025,2,6,June,26,24,Tuesday,21,Evening
20250711,2025-07-11,2025,3,7,July,28,11,Friday,18,Evening
20250803,2025-08-03,2025,3,8,August,31,3,Sunday,5,Night
20250528,2025-05-28,2025,2,5,May,22,28,Wednesday,23,Evening
20250717,2025-07-17,2025,3,7,July,29,17,Thursday,16,Afternoon
20250624,2025-06-24,2025,2,6,June,26,24,Tuesday,13,Afternoon
20250615,2025-06-15,2025,2,6,June,24,15,Sunday,9,Morning
20250702,2025-07-02,2025,3,7,July,27,2,Wednesday,12,Afternoon
20250521,2025-05-21,2025,2,5,May,21,21,Wednesday,8,Morning
20250703,2025-07-03,2025,3,7,July,27,3,Thursday,9,Morning
20250527,2025-05-27,2025,2,5,May,22,27,Tuesday,0,Night
20250511,2025-05-11,2025,2,5,May,19,11,Sunday,15,Afternoon
20250714,2025-07-14,2025,3,7,July,29,14,Monday,5,Night
20250616,2025-06-16,2025,2,6,June,25,16,Monday,20,Evening
20250605,2025-06-05,2025,2,6,June,23,5,Thursday,11,Morning
20250801,2025-08-01,2025,3,8,August,31,1,Friday,19,Evening
20250512,2025-05-12,2025,2,5,May,20,12,Monday,20,Evening
20250608,2025-06-08,2025,2,6,June,23,8,Sunday,11,Morning
20250716,2025-07-16,2025,3,7,July,29,16,Wednesday,12,Afternoon
20250622,2025-06-22,2025,2,6,June,25,22,Sunday,20,Evening
20250527,2025-05-27,2025,2,5,May,22,27,Tuesday,16,Afternoon
20250710,2025-07-10,2025,3,7,July,28,10,Thursday,9,Morning
20250709,2025-07-09,2025,3,7,July,28,9,Wednesday,7,Morning
20250726,2025-07-26,2025,3,7,July,30,26,Saturday,15,Afternoon
20250527,2025-05-27,2025,2,5,May,22,27,Tuesday,11,Morning
20250508,2025-05-08,2025,2,5,May,19,8,Thursday,19,Evening
20250510,2025-05-10,2025,2,5,May,19,10,Saturday,16,Afternoon
20250518,2025-05-18,2025,2,5,May,20,18,Sunday,14,Afternoon
20250527,2025-05-27,2025,2,5,May,22,27,Tuesday,9,Morning
20250518,2025-05-18,2025,2,5,May,20,18,Sunday,23,Evening
20250628,2025-06-28,2025,2,6,June,26,28,Saturday,4,Night
20250629,2025-06-29,2025,2,6,June,26,29,Sunday,21,Evening
20250727,2025-07-27,2025,3,7,July,30,27,Sunday,20,Evening
20250606,2025-06-06,2025,2,6,June,23,6,Friday,1,Night
20250612,2025-06-12,2025,2,6,June,24,12,Thursday,0,Night
20250620,2025-06-20,2025,2,6,June,25,20,Friday,6,Morning
20250713,2025-07-13,2025,3,7,July,28,13,Sunday,12,Afternoon
20250517,2025-05-17,2025,2,5,May,20,17,Saturday,22,Evening
20250520,2025-05-20,2025,2,5,May,21,20,Tuesday,1,Night
20250519,2025-05-19,2025,2,5,May,21,19,Monday,10,Morning
20250617,2025-06-17,2025,2,6,June,25,17,Tuesday,19,Evening
20250619,2025-06-19,2025,2,6,June,25,19,Thursday,16,Afternoon
20250711,2025-07-11,2025,3,7,July,28,11,Friday,3,Night
20250724,2025-07-24,2025,3,7,July,30,24,Thursday,4,Night
